player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,xgot,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,match_id
"{'name': 'Alexsander', 'firstName': 'Alexsander', 'slug': 'alexsander', 'shortName': 'Alexsander', 'position': 'M', 'jerseyNumber': '5', 'userCount': 1979, 'gender': 'M', 'id': 1185617, 'fieldTranslations': {'nameTranslation': {'ar': 'Gomes da Costa, Alexsander Cristhian'}, 'shortNameTranslation': {'ar': 'A. C. G. d. Costa'}}}",True,miss,assisted,"{'x': 55.6, 'y': 48.6, 'z': 0}",left-foot,right,"{'x': 0, 'y': 34.5, 'z': 19.4}","{'x': 1.6, 'y': 64.3, 'z': 0}",0.0084802620112896,0.0,"{'name': 'Agustín Rossi', 'slug': 'agustin-rossi', 'shortName': 'A. Rossi', 'position': 'G', 'jerseyNumber': '1', 'userCount': 10903, 'gender': 'M', 'sofascoreId': 'AgustinRossi', 'id': 1140986, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغستين روسي', 'bn': 'অগাস্টিন রসি', 'hi': 'अगस्टिन रॉसी'}, 'shortNameTranslation': {'ar': 'أ. روسي', 'bn': 'অগাস্টিন রসি', 'hi': 'अगस्टिन रॉसी'}}}",6247223,90,4.0,5609,"{'start': {'x': 48.6, 'y': 55.6}, 'block': {'x': 64.3, 'y': 1.6}, 'end': {'x': 65.5, 'y': 0}, 'goal': {'x': 65.5, 'y': 80.6}}",1,691,209,shot,,13472615
"{'name': 'Bruno Henrique', 'slug': 'bruno-henrique', 'shortName': 'B. Henrique', 'position': 'F', 'jerseyNumber': '27', 'userCount': 33804, 'gender': 'M', 'sofascoreId': 'B.henrique', 'id': 795291, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو هنريكي', 'bn': 'ব্রুনো হেনরিক', 'hi': 'ब्रूनो हेनरिक'}, 'shortNameTranslation': {'ar': 'ب. هنريكي', 'bn': 'বি. হেনরিক', 'hi': 'बी. हेनरिक'}}}",False,goal,assisted,"{'x': 9.2, 'y': 45.1, 'z': 0}",head,low-right,"{'x': 0, 'y': 45.8, 'z': 10.1}",,0.055576875805855,0.61474347114563,"{'name': 'Everson', 'slug': 'everson', 'shortName': 'Everson', 'position': 'G', 'jerseyNumber': '22', 'userCount': 2199, 'gender': 'M', 'id': 870748, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}, 'shortNameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}}}",6247221,90,2.0,5506,"{'start': {'x': 45.1, 'y': 9.2}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 89.9}}",1,794,106,shot,regular,13472615
"{'name': 'Bruno Henrique', 'slug': 'bruno-henrique', 'shortName': 'B. Henrique', 'position': 'F', 'jerseyNumber': '27', 'userCount': 33804, 'gender': 'M', 'sofascoreId': 'B.henrique', 'id': 795291, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو هنريكي', 'bn': 'ব্রুনো হেনরিক', 'hi': 'ब्रूनो हेनरिक'}, 'shortNameTranslation': {'ar': 'ب. هنريكي', 'bn': 'বি. হেনরিক', 'hi': 'बी. हेनरिक'}}}",False,miss,corner,"{'x': 9, 'y': 43.6, 'z': 0}",right-foot,left,"{'x': 0, 'y': 62, 'z': 12.5}",,0.081383511424065,0.0,"{'name': 'Everson', 'slug': 'everson', 'shortName': 'Everson', 'position': 'G', 'jerseyNumber': '22', 'userCount': 2199, 'gender': 'M', 'id': 870748, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}, 'shortNameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}}}",6247218,90,,5366,"{'start': {'x': 43.6, 'y': 9}, 'end': {'x': 38, 'y': 0}, 'goal': {'x': 38, 'y': 87.5}}",1,34,2666,shot,,13472615
"{'name': 'Giorgian De Arrascaeta', 'slug': 'giorgian-de-arrascaeta', 'shortName': 'Arrascaeta', 'position': 'M', 'jerseyNumber': '10', 'userCount': 86628, 'gender': 'M', 'sofascoreId': 'G10DeArrascaeta', 'id': 333587, 'fieldTranslations': {'nameTranslation': {'ar': 'جيورجيان دي أراسكايتا', 'bn': 'জর্জিয়ান ডি আরাসকায়েটা', 'hi': 'जियोर्जियन डी अर्रास्काटा'}, 'shortNameTranslation': {'ar': 'ج. دي أراسكايتا', 'bn': 'জি. ডি আরাসকায়েটা', 'hi': 'जी. डी अर्रास्काटा'}}}",False,block,corner,"{'x': 12.2, 'y': 37.9, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.4, 'z': 19}","{'x': 4.2, 'y': 44.2, 'z': 0}",0.049820404499769,0.0,"{'name': 'Everson', 'slug': 'everson', 'shortName': 'Everson', 'position': 'G', 'jerseyNumber': '22', 'userCount': 2199, 'gender': 'M', 'id': 870748, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}, 'shortNameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}}}",6247217,90,,5363,"{'start': {'x': 37.9, 'y': 12.2}, 'block': {'x': 44.2, 'y': 4.2}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 81}}",1,37,2663,shot,,13472615
"{'name': 'Gonzalo Plata', 'slug': 'gonzalo-plata', 'shortName': 'G. Plata', 'position': 'M', 'jerseyNumber': '19', 'userCount': 20504, 'gender': 'M', 'sofascoreId': 'gonzaloplata', 'id': 937937, 'fieldTranslations': {'nameTranslation': {'ar': 'غونزالو بلاتا', 'bn': 'গঞ্জালো প্লাটা', 'hi': 'गोंजालो प्लाटा'}, 'shortNameTranslation': {'ar': 'غ. بلاتا', 'bn': 'জি.প্লাটা', 'hi': 'जी. प्लाटा'}}}",False,post,assisted,"{'x': 8.7, 'y': 56.6, 'z': 0}",head,left,"{'x': 0, 'y': 55.4, 'z': 16.5}",,0.050920132547617,0.0,"{'name': 'Everson', 'slug': 'everson', 'shortName': 'Everson', 'position': 'G', 'jerseyNumber': '22', 'userCount': 2199, 'gender': 'M', 'id': 870748, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}, 'shortNameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}}}",6247215,89,,5334,"{'start': {'x': 56.6, 'y': 8.7}, 'end': {'x': 44.6, 'y': 0}, 'goal': {'x': 44.6, 'y': 83.5}}",2,66,2634,shot,,13472615
"{'name': 'Caio Paulista', 'slug': 'caio-paulista', 'shortName': 'C. Paulista', 'position': 'D', 'jerseyNumber': '38', 'userCount': 1649, 'gender': 'M', 'id': 931591, 'fieldTranslations': {'nameTranslation': {'ar': 'كايو باوليستا', 'bn': 'কাইও পলিস্তা', 'hi': 'कैयो पॉलिस्ता'}, 'shortNameTranslation': {'ar': 'ك. باوليستا', 'bn': 'সি. পলিস্তা', 'hi': 'सी. पॉलिस्ता'}}}",True,block,fast-break,"{'x': 13.2, 'y': 65.5, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 19}","{'x': 11.1, 'y': 63, 'z': 0}",0.067913383245468,0.0,"{'name': 'Agustín Rossi', 'slug': 'agustin-rossi', 'shortName': 'A. Rossi', 'position': 'G', 'jerseyNumber': '1', 'userCount': 10903, 'gender': 'M', 'sofascoreId': 'AgustinRossi', 'id': 1140986, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغستين روسي', 'bn': 'অগাস্টিন রসি', 'hi': 'अगस्टिन रॉसी'}, 'shortNameTranslation': {'ar': 'أ. روسي', 'bn': 'অগাস্টিন রসি', 'hi': 'अगस्टिन रॉसी'}}}",6247197,85,,5061,"{'start': {'x': 65.5, 'y': 13.2}, 'block': {'x': 63, 'y': 11.1}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 81}}",6,339,2361,shot,,13472615
"{'name': 'Everton', 'firstName': 'Everton', 'slug': 'everton', 'shortName': 'Everton', 'position': 'M', 'jerseyNumber': '11', 'userCount': 12417, 'gender': 'M', 'sofascoreId': 'Evertons', 'id': 386198, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفرتون', 'bn': 'এভারটন', 'hi': 'एवर्टन'}, 'shortNameTranslation': {'ar': 'إيفرتون', 'bn': 'এভারটন', 'hi': 'एवर्टन'}}}",False,block,assisted,"{'x': 14.3, 'y': 42.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 19}","{'x': 9.4, 'y': 44.6, 'z': 0}",0.13956488668919,0.0,"{'name': 'Everson', 'slug': 'everson', 'shortName': 'Everson', 'position': 'G', 'jerseyNumber': '22', 'userCount': 2199, 'gender': 'M', 'id': 870748, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}, 'shortNameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}}}",6247196,85,,5046,"{'start': {'x': 42.1, 'y': 14.3}, 'block': {'x': 44.6, 'y': 9.4}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 81}}",6,354,2346,shot,,13472615
"{'name': 'Giorgian De Arrascaeta', 'slug': 'giorgian-de-arrascaeta', 'shortName': 'Arrascaeta', 'position': 'M', 'jerseyNumber': '10', 'userCount': 86628, 'gender': 'M', 'sofascoreId': 'G10DeArrascaeta', 'id': 333587, 'fieldTranslations': {'nameTranslation': {'ar': 'جيورجيان دي أراسكايتا', 'bn': 'জর্জিয়ান ডি আরাসকায়েটা', 'hi': 'जियोर्जियन डी अर्रास्काटा'}, 'shortNameTranslation': {'ar': 'ج. دي أراسكايتا', 'bn': 'জি. ডি আরাসকায়েটা', 'hi': 'जी. डी अर्रास्काटा'}}}",False,block,assisted,"{'x': 12.4, 'y': 44.2, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.6, 'z': 19}","{'x': 10.2, 'y': 45.1, 'z': 0}",0.025380797684193,0.0,"{'name': 'Everson', 'slug': 'everson', 'shortName': 'Everson', 'position': 'G', 'jerseyNumber': '22', 'userCount': 2199, 'gender': 'M', 'id': 870748, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}, 'shortNameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}}}",6247213,81,,4845,"{'start': {'x': 44.2, 'y': 12.4}, 'block': {'x': 45.1, 'y': 10.2}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 81}}",10,555,2145,shot,,13472615
"{'name': 'Giorgian De Arrascaeta', 'slug': 'giorgian-de-arrascaeta', 'shortName': 'Arrascaeta', 'position': 'M', 'jerseyNumber': '10', 'userCount': 86628, 'gender': 'M', 'sofascoreId': 'G10DeArrascaeta', 'id': 333587, 'fieldTranslations': {'nameTranslation': {'ar': 'جيورجيان دي أراسكايتا', 'bn': 'জর্জিয়ান ডি আরাসকায়েটা', 'hi': 'जियोर्जियन डी अर्रास्काटा'}, 'shortNameTranslation': {'ar': 'ج. دي أراسكايتا', 'bn': 'জি. ডি আরাসকায়েটা', 'hi': 'जी. डी अर्रास्काटा'}}}",False,block,assisted,"{'x': 19.8, 'y': 43.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.5, 'z': 19}","{'x': 15.1, 'y': 44.8, 'z': 0}",0.03280857950449,0.0,"{'name': 'Everson', 'slug': 'everson', 'shortName': 'Everson', 'position': 'G', 'jerseyNumber': '22', 'userCount': 2199, 'gender': 'M', 'id': 870748, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}, 'shortNameTranslation': {'ar': 'إيفرسون', 'bn': 'এভারসন', 'hi': 'एवरसन'}}}",6247193,77,,4570,"{'start': {'x': 43.6, 'y': 19.8}, 'block': {'x': 44.8, 'y': 15.1}, 'end': {'x': 48.5, 'y': 0}, 'goal': {'x': 48.5, 'y': 81}}",14,830,1870,shot,,13472615
"{'name': 'Renzo Saravia', 'firstName': '', 'lastName': '', 'slug': 'renzo-saravia', 'shortName': 'R. Saravia', 'position': 'D', 'jerseyNumber': '26', 'userCount': 1136, 'gender': 'M', 'id': 315916, 'fieldTranslations': {'nameTranslation': {'ar': 'رينزو سارافيا', 'bn': 'রেনজো সারাভিয়া', 'hi': 'रेन्ज़ो साराविया'}, 'shortNameTranslation': {'ar': 'ر. سارافيا', 'bn': 'আর. সারাভিয়া', 'hi': 'आर. साराविया'}}}",True,save,corner,"{'x': 6.1, 'y': 64, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.8, 'z': 2.5}","{'x': 0.5, 'y': 52.7, 'z': 0}",0.033872548490763,0.36985409259796,"{'name': 'Agustín Rossi', 'slug': 'agustin-rossi', 'shortName': 'A. Rossi', 'position': 'G', 'jerseyNumber': '1', 'userCount': 10903, 'gender': 'M', 'sofascoreId': 'AgustinRossi', 'id': 1140986, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغستين روسي', 'bn': 'অগাস্টিন রসি', 'hi': 'अगस्टिन रॉसी'}, 'shortNameTranslation': {'ar': 'أ. روسي', 'bn': 'অগাস্টিন রসি', 'hi': 'अगस्टिन रॉसी'}}}",6247135,75,,4456,"{'start': {'x': 64, 'y': 6.1}, 'block': {'x': 52.7, 'y': 0.5}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 97.5}}",16,944,1756,shot,,13472615
